20,1200,1,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,pop1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,locus1, ,locus2, ,locus3, ,locus4, ,locus5, ,locus6, ,locus7, ,locus8, ,locus9, ,locus10, ,locus11, ,locus12, ,locus13, ,locus14, ,locus15, ,locus16, ,locus17, ,locus18, ,locus19, ,locus20, 
"0001","pop1","498","499","500","501","502","501","500","499","500","500","500","499","500","498","503","501","504","505","498","500","499","503","496","497","506","505","501","501","502","503","499","497","500","503","501","499","502","497","500","500"
"0002","pop1","498","498","503","499","502","501","500","502","499","499","500","500","500","501","501","502","505","506","500","497","499","500","497","499","505","504","501","501","502","500","499","500","500","499","501","500","502","497","499","501"
"0003","pop1","499","501","501","503","502","501","499","499","500","498","500","500","499","502","501","502","504","506","495","502","500","501","499","498","505","504","502","502","502","501","499","500","503","502","499","500","497","498","500","500"
"0004","pop1","498","498","500","499","501","501","500","499","500","499","500","500","500","502","503","502","502","501","500","502","499","500","499","498","505","503","501","501","502","502","499","498","499","499","499","497","502","502","500","501"
"0005","pop1","499","499","499","502","502","502","499","499","500","500","500","499","500","500","502","498","504","505","495","501","499","500","496","502","505","503","501","501","503","500","500","498","503","501","497","498","498","498","501","497"
"0006","pop1","499","501","501","504","501","503","499","498","500","498","500","500","500","498","501","502","505","501","500","495","499","501","499","498","505","499","501","501","502","500","499","499","503","499","500","500","502","504","500","501"
"0007","pop1","498","498","500","500","501","503","499","499","500","499","500","499","501","502","503","502","502","503","500","501","499","498","499","502","505","505","502","502","502","501","500","498","500","500","500","498","498","504","500","500"
"0008","pop1","498","499","503","499","502","502","499","499","500","499","500","499","500","500","499","499","504","506","500","497","503","500","497","499","505","504","502","502","502","500","499","500","499","499","500","500","497","503","499","501"
"0009","pop1","498","499","503","499","502","501","500","499","499","497","499","499","500","502","501","501","501","500","500","500","499","502","497","499","504","503","501","502","503","501","500","498","499","499","501","498","497","504","499","501"
"0010","pop1","498","499","500","499","502","503","499","499","499","498","500","500","499","502","502","502","505","502","500","501","499","501","502","501","505","503","501","503","500","501","499","500","499","501","499","500","497","504","499","501"
"0011","pop1","498","499","500","502","502","500","499","499","499","497","500","500","500","499","502","499","504","506","502","501","499","503","498","498","505","505","501","501","502","502","498","498","500","499","499","500","497","504","501","497"
"0012","pop1","499","499","501","503","502","502","499","499","498","497","500","500","500","499","503","502","504","501","500","502","499","500","499","498","505","503","503","503","502","502","498","498","503","501","501","500","504","504","499","501"
"0013","pop1","499","499","500","499","502","501","499","502","499","499","500","499","502","497","502","502","502","502","500","495","500","501","498","502","505","499","501","502","502","500","498","498","499","499","500","500","497","506","501","498"
"0014","pop1","498","498","500","502","502","501","499","499","498","498","500","500","500","499","503","503","501","500","500","501","503","500","498","500","505","505","501","501","503","501","499","498","499","501","500","500","497","504","501","497"
"0015","pop1","499","501","499","499","502","503","499","499","498","497","500","500","500","498","501","501","505","505","501","501","503","498","497","501","505","505","501","501","503","500","499","500","503","499","500","498","502","498","501","501"
"0016","pop1","499","499","502","504","502","502","500","499","500","499","500","499","500","497","503","502","504","505","500","495","499","499","499","502","505","502","501","503","503","501","499","500","503","499","500","500","502","497","500","499"
"0017","pop1","498","498","501","499","502","502","499","499","498","497","499","499","500","502","503","502","502","503","500","502","500","501","498","498","505","499","501","501","502","501","500","498","500","499","501","498","497","503","500","499"
"0018","pop1","498","502","500","500","502","503","500","499","500","500","500","500","500","500","503","501","506","502","500","502","499","500","499","501","503","503","501","503","502","503","499","498","502","501","501","498","502","498","501","497"
"0019","pop1","499","501","500","503","502","502","500","502","498","497","500","499","500","497","501","498","505","506","495","502","499","498","499","500","505","505","501","501","502","501","500","501","499","501","499","500","502","502","499","501"
"0020","pop1","498","499","500","499","502","501","500","499","498","498","500","499","500","500","503","501","504","505","500","500","499","500","498","502","505","505","501","502","500","501","500","498","502","501","499","499","502","504","500","497"
"0021","pop1","498","499","503","499","502","501","500","499","498","498","500","500","500","499","503","501","505","502","500","502","499","500","499","501","504","499","501","502","502","500","499","500","501","504","497","497","497","498","500","501"
"0022","pop1","498","501","501","501","502","503","499","499","499","498","500","499","500","499","501","499","504","502","501","499","499","500","502","501","504","503","501","501","500","500","499","500","499","501","499","500","502","498","499","496"
